date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
123_WILL;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;667;
125man29;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;616282;
12cats;3615839;3615839;3615839;3615839;3615839;3831399;3831399;3831399;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;3855992;
12derka;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;110600;
12mike34;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;1114103;
12Patata21;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;2267351;
12steeler;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;169646;
1314jayden;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;1266586;
132465798;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;116056;118717;118717;118717;118717;
138hz;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;1537;
13lackRaven;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;119942;
13Tes;118860;118860;137260;139180;139180;159695;167695;177135;186095;186575;190415;200015;205615;215855;223695;231535;240015;248815;257775;267215;276975;284655;294415;304655;310095;318895;327055;336655;340655;347535;
146hz;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;
159732;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;33305;
15h;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;835967;0;0;0;835967;835967;835967;835967;835967;835967;835967;
15HFN;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;475715;
15hh;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;
15Tank;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;9294958;
15_Forcestream_;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;323687;
1640s;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;117;
16thGarden;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;422816;
1702Levi;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;397249;
173IQ;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;47787778;
17aq;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;6331;
180hz;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33842;33851;33851;33851;33851;33851;
1875ryan;882;882;882;882;882;882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;882;0;0;0;0;0;0;0;0;
187ner;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;1705496;
18O4;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;755062;
194858291919;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;8231;
199g;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;8323822;
19ch;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;
19l;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;138329;
